id,doc_kind,title,lifecycle_status,custom_attributes,last_referenced
DOC-001,charter,Project Charter — ACMP,Approved,"{""v1"": {""path"": ""00-charter.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-002,executive-summary,Executive Summary — ACMP,Approved,"{""v1"": {""path"": ""01-executive-summary.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-003,readme,ACMP Architecture Decision Records,Draft,"{""v1"": {""path"": ""adrs/README.md""}}",
DOC-004,architecture,Architecture — ACMP,Approved,"{""v1"": {""path"": ""architecture/architecture.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-005,readme,Diagrams — ACMP,Approved,"{""v1"": {""path"": ""architecture/diagrams/README.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-006,technology-comparison,Technology Comparison — ACMP,Approved,"{""v1"": {""path"": ""architecture/technology-comparison.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-007,other,Assumption Register — ACMP,Approved,"{""v1"": {""path"": ""decisions/assumption-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-008,other,Open-Decision Register — ACMP,Approved,"{""v1"": {""path"": ""decisions/open-decision-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-17"", ""owner"": ""lead-secretary""}}}",
DOC-009,other,Open-Question Register — ACMP,Approved,"{""v1"": {""path"": ""decisions/open-question-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-13"", ""owner"": ""lead-secretary""}}}",
DOC-010,other,"15 — Architecture (Deliverables 20, 21, 22)",Draft,"{""v1"": {""path"": ""domain/architecture-detail.md""}}",
DOC-011,other,26 — Audit & Records Management (Deliverable 34),Draft,"{""v1"": {""path"": ""domain/audit-and-records.md""}}",
DOC-012,other,23 — Build vs. Buy vs. Integrate Analysis (Deliverable 31),Draft,"{""v1"": {""path"": ""domain/build-vs-buy-vs-integrate.md""}}",
DOC-013,other,02 — Current-State Analysis,Draft,"{""v1"": {""path"": ""domain/current-state.md""}}",
DOC-014,other,"16 — Data Architecture & Logical Data Model (Deliverables 23, 24)",Draft,"{""v1"": {""path"": ""domain/data-architecture.md""}}",
DOC-015,other,33 — Containerization and Deployment Plan (Deliverable 41),Draft,"{""v1"": {""path"": ""domain/deployment.md""}}",
DOC-016,other,32 — DevSecOps Plan (Deliverable 40),Draft,"{""v1"": {""path"": ""domain/devsecops-plan.md""}}",
DOC-017,other,35 — Documentation Plan (Deliverable 43),Draft,"{""v1"": {""path"": ""domain/documentation-plan.md""}}",
DOC-018,other,11 — Domain Model (Deliverable 14),Draft,"{""v1"": {""path"": ""domain/domain-model.md""}}",
DOC-019,other,12 — Entity Lifecycle Models (Deliverable 15),Draft,"{""v1"": {""path"": ""domain/entity-lifecycles.md""}}",
DOC-020,other,"46 — Git Workflow (Branch-per-Phase, PR-into-main)",Draft,"{""v1"": {""path"": ""domain/git-workflow-detail.md""}}",
DOC-021,other,"14 — Information Architecture, Sitemap & Page Inventory",Draft,"{""v1"": {""path"": ""domain/information-architecture.md""}}",
DOC-022,other,ACMP Integration Architecture,Draft,"{""v1"": {""path"": ""domain/integration-architecture.md""}}",
DOC-023,other,ACMP Keystone Analysis and Integration Plan,Draft,"{""v1"": {""path"": ""domain/keystone-analysis.md""}}",
DOC-024,other,28 — Metrics & KPI Catalog (Deliverable 36),Draft,"{""v1"": {""path"": ""domain/metrics-kpi-catalog.md""}}",
DOC-025,other,29 — Notification Strategy (Deliverable 37),Draft,"{""v1"": {""path"": ""domain/notification-strategy.md""}}",
DOC-026,other,21 — Open-Source & Commercial Landscape Analysis (Deliverable 29),Draft,"{""v1"": {""path"": ""domain/open-source-landscape.md""}}",
DOC-027,other,01 — Organization & Problem,Draft,"{""v1"": {""path"": ""domain/organization-and-problem.md""}}",
DOC-028,other,03 — Pain-Point Analysis,Draft,"{""v1"": {""path"": ""domain/pain-points.md""}}",
